"shapeid","OBJECTID","ILCEKN","ILCE_ADI","KIMLIKNO","AD","YAKA","KARAR_NO","KARAR_TARI","GLOBALID","CREATED_US","CREATED_DA","LAST_EDITE","LAST_EDI_1","TANITIMKOD","SHAPE_Leng","SHAPE_Area","area","perimeter"
"38.0","39","1810","16","40542","HÜRRÝYET","2","NULL","1899-12-30","{104F9F2C-8920-4D7B-8941-7DB2C94B6FF6}","NULL","NULL","NULL","NULL","8","3078.62424449","450686.896264","4.827969405596377e-05","0.03127546712658663"
"39.0","40","2010","14","40501","HAZNEDAR","2","NULL","1899-12-30","{023A90D9-7210-48E2-BC99-9E4E2A6C95E8}","NULL","NULL","NULL","NULL","6","2822.03814773","356465.042595","3.814845479155338e-05","0.0296614517798951"
"40.0","41","2010","14","40497","AKINCILAR","2","NULL","1899-12-30","{51FE3249-8C44-4B46-AB6A-74E7FE70044D}","NULL","NULL","NULL","NULL","2","2244.03357702","256010.151035","2.7399906457503675e-05","0.024500994967500557"
"41.0","42","2010","14","40502","MAREÞAL ÇAKMAK","2","Sýnýr Deðiþikliði","2007-07-02","{2507D0B9-6510-455B-BC10-66FD7A04A6EC}","NULL","NULL","NULL","NULL","7","2606.80823244","365080.543945","3.9074899405022734e-05","0.02721801799502184"
"42.0","43","2010","14","40496","MERKEZ","2","NULL","1899-12-30","{05FE4548-76D3-4139-8BA3-05F1F9BA28DB}","NULL","NULL","TERDEM","2017-03-21","9","4671.90053269","792289.280329","8.480422263801302e-05","0.048657390568116084"
"43.0","44","1810","16","40553","YEÞÝLCE","2","NULL","1899-12-30","{DA39C72E-651D-4C48-BE6B-51C8A1F4D265}","NULL","NULL","TERDEM","2017-03-07","19","2804.61743343","381428.668718","4.087407580755098e-05","0.029233148308841595"
"44.0","45","1237","32","40901","OVAYENÝCE","2","NULL","1899-12-30","{3EFEACCA-B6F0-490E-AD8B-63395D563A4A}","NULL","NULL","TERDEM","2017-02-28","0","27815.4487946","19988361.8341","0.0021415509468170058","0.2879417986632268"
"45.0","46","1237","32","40899","ÇAKIL","2","NULL","1899-12-30","{1FFE935B-3F5C-44CA-A22C-169B2F0DF423}","NULL","NULL","TERDEM","2017-02-28","0","26327.2790696","21402951.1521","0.0022932760160756516","0.2704991056453925"
"46.0","47","1421","15","40510","HASANPAÞA","1","NULL","1899-12-30","{EC59FCBA-31BD-487B-8697-664A36661781}","NULL","NULL","NULL","NULL","4","5509.31928612","809822.077486","8.665380676120549e-05","0.06040802104708431"
"47.0","48","2004","4","40159","ÝNÖNÜ","2","NULL","1899-12-30","{DA7810A9-0388-4EE6-8E31-CC3FE3D2D3CC}","NULL","NULL","NULL","NULL","5","3125.72359399","499390.425449","5.3459263199329143e-05","0.03217973321357966"
"48.0","49","2004","4","40166","KÝRAZLI","2","NULL","1899-12-30","{0EF3C123-A309-4D5A-B683-167EAE0C945A}","NULL","NULL","NULL","NULL","12","4260.78866963","941000.954502","0.00010074048350361409","0.045093146041501914"
"49.0","50","1327","12","40326","MOLLA FENARÝ","2","NULL","1899-12-30","{0B632ABF-9205-4451-9096-15237A19EFE5}","NULL","NULL","NULL","NULL","109","1830.1823983","149544.170034","1.600451196281938e-05","0.01978092841944884"
"50.0","51","1327","12","40316","HOCA GIYASETTÝN","2","NULL","1899-12-30","{09E56A23-B84C-4278-A91F-10619F658AC8}","NULL","NULL","NULL","NULL","99","1662.44066677","86431.2602091","9.251122605746787e-06","0.017064582913433015"
"51.0","52","1327","12","40312","DEMÝRTAÞ","2","NULL","1899-12-30","{BC079349-8869-40A0-87B1-CE52181B688F}","NULL","NULL","NULL","NULL","95","1439.00130236","84645.3340107","9.059971944225254e-06","0.015458595018038881"
"52.0","53","1327","12","40322","MERCAN","2","NULL","1899-12-30","{654E2127-87BB-480B-9725-C8C192F74CD9}","NULL","NULL","NULL","NULL","105","1235.9405505","82625.8047942","8.843284831527853e-06","0.013085206994320425"
"53.0","54","1663","22","40693","FERÝKÖY","2","NULL","1899-12-30","{7A968DE9-3F8B-4A2D-89E0-985F37BA673D}","NULL","NULL","TERDEM","2017-02-24","9","2737.73262334","241737.343903","2.5886463276947325e-05","0.028306806140205913"
"54.0","55","1663","22","40699","HARBÝYE","2","NULL","1899-12-30","{BE29446E-ACCD-402C-B8D0-08DEAE11DC37}","NULL","NULL","TERDEM","2017-02-27","15","3911.65718638","780757.578851","8.360280833130673e-05","0.03976812110913527"
"55.0","56","1663","22","40692","ESKÝÞEHÝR","2","NULL","1899-12-30","{C41EB9E2-F284-475B-9D44-1BAE1A99D162}","NULL","NULL","NULL","NULL","8","1746.60830733","183887.837018","1.969045126770652e-05","0.017919002316567602"
"56.0","57","1186","9","40284","ÞAHKULU","2","NULL","1899-12-30","{6565D735-85F2-4FC6-B96D-AAE4E4372BAC}","NULL","NULL","NULL","NULL","1","1396.71712646","83082.5615666","8.894026336747629e-06","0.014669227256359744"
"57.0","58","2048","33","40488","KARLIBAYIR","2","NULL","1899-12-30","{66F81F55-969A-4A2D-9201-0F419D677FAD}","NULL","NULL","NULL","NULL","3","5208.40037348","1280357.90101","0.0001373629708041335","0.05391525164192459"
"58.0","59","2048","33","40492","TAÞOLUK","2","NULL","1899-12-30","{011C5BE0-6CAA-4FAF-B5F2-7645E48EE960}","NULL","NULL","NULL","NULL","10","5264.37970539","1574224.01355","0.00016891834616217238","0.05501293720549947"
"59.0","60","1186","9","40299","ARAP CAMÝ","2","NULL","1899-12-30","{5EF73443-A43F-44F7-8F0B-445FC6A7362E}","NULL","NULL","NULL","NULL","4","1899.23726629","156127.269785","1.6712441151867097e-05","0.020296375565758282"
"60.0","61","1852","24","98700","PARSELLER","1","NULL","1899-12-30","{75D165F8-1E4E-4CFC-AF23-BC5E759F57E8}","NULL","NULL","NULL","NULL","31","4548.3845782","1001950.2071","0.00010727151379796851","0.046554491038840407"
"61.0","62","1852","24","40737","ÝNKILAP","1","NULL","1899-12-30","{0714BADC-C33C-4503-B626-A643D0D61C5D}","NULL","NULL","NULL","NULL","3","9024.2767846","2049885.89659","0.0002195051113176305","0.09133039322092697"
"62.0","63","1852","24","40739","ÝSTÝKLAL","1","NULL","1899-12-30","{AE473D89-E843-4031-92F5-616D094EAAD7}","NULL","NULL","NULL","NULL","5","5025.90330068","1007588.76833","0.00010785277765990031","0.05082753973449377"
"63.0","64","2051","36","40893","MARMARA","2","NULL","1899-12-30","{018B871F-1D7C-4A88-9100-DF341F38EF30}","NULL","NULL","NULL","NULL","5","19298.4714543","5575667.59062","0.0005963092537513148","0.19637509402193384"
"64.0","65","2055","40","40475","ÝSMETPAÞA","2","NULL","1899-12-30","{598C6FF8-6141-40BD-921B-5B184C178727}","NULL","NULL","NULL","NULL","35","3928.26947271","908955.136836","9.741807343743858e-05","0.03994553045826699"
"65.0","66","1325","11","40373","RAMÝ YENÝ","2","NULL","1899-12-30","{69349D59-4A12-4CE6-A0D1-540C0F91EF03}","NULL","NULL","NULL","NULL","16","3325.422995","509758.461422","5.4587665772487526e-05","0.03458652581015052"
"66.0","67","1325","11","40376","TOPÇULAR","2","NULL","1899-12-30","{3825D69A-8A50-432C-8AA9-E3FE4586B44F}","NULL","NULL","NULL","NULL","19","7166.1299077","1657257.20907","0.00017742675061072077","0.07415362783510983"
"67.0","68","1325","11","40361","DEFTERDAR","2","NULL","1899-12-30","{87F11357-253C-47FE-8ABF-C64772915971}","NULL","NULL","NULL","NULL","4","4988.19202859","940451.320849","0.00010068791152662016","0.05392695009824097"
"68.0","69","2048","33","40484","YUNUS EMRE","2","NULL","1899-12-30","{4F82B2B8-B33B-4767-965A-43083307605B}","NULL","NULL","NULL","NULL","6","5394.46494426","1078747.88965","0.00011573780625440122","0.056629780189021914"
"69.0","70","1823","18","40600","YENÝ MAHALLE","2","NULL","1899-12-30","{26314F2B-FFB6-480B-B3A9-4200EFA71F60}","NULL","NULL","NULL","NULL","25","3605.12361528","457108.052263","4.8906668439485657e-05","0.037801756659706975"
"70.0","71","1823","18","40591","ATATÜRK","2","NULL","1899-12-30","{A306A807-DC25-4A93-B83A-95BB3C32CD0C}","NULL","NULL","NULL","NULL","3","7158.49961798","1619883.35492","0.00017346942047424818","0.07465852954397499"
"71.0","72","1782","29","40846","CUMHURÝYET","2","NULL","1899-12-30","{1EDAB0A5-60BF-486B-A370-2D0CB3A57D22}","NULL","NULL","NULL","NULL","11","8421.81964391","2364632.41008","0.0002530767025064051","0.09037355951576719"
